{'id': '1304daa3-c591-464e-adbc-192538de2e40', 'idHomeTeam': '31c88261-1efd-444e-95ac-b7c1cd034bfd', 'idAwayTeam': 'd18b547a-3e55-4ead-a73a-6ee9af05c761', 'idStadium': '3db1375b-a28f-4908-9878-ec0fe5a5587f', 'date': '2024-06-14'}
{'id': '6cba820d-9062-4644-a8be-7bbe2eebb497', 'idHomeTeam': '68005e74-10e2-410e-8d60-d88e6c0df198', 'idAwayTeam': 'efc26f34-0d00-4fdb-a958-ccd8d0840a4b', 'idStadium': '3181b7d7-77cc-42a8-96c9-ab6c18e282ae', 'date': '2024-06-15'}
{'id': '1cc60753-36e3-4a3e-bbdd-cd482220588a', 'idHomeTeam': '0015bd66-71ce-4869-9d9b-be8b12914dcd', 'idAwayTeam': 'ef03f03e-872c-4bb4-bb95-203d8f072294', 'idStadium': '2eead114-7627-45c4-83ab-ee3d66a6c62f', 'date': '2024-06-15'}
{'id': '2854ec2a-0837-4611-baac-0101f23e692f', 'idHomeTeam': 'eee64995-57ba-4261-be76-4faf9c808fd8', 'idAwayTeam': '4feec068-cc48-4c57-bca0-d06e3ec242c2', 'idStadium': '92940c44-15af-44a9-9fd4-480d0d865e27', 'date': '2024-06-15'}
{'id': '9764ec4b-c586-437a-a0b8-db4e7f07a7ab', 'idHomeTeam': 'd835ce6e-600a-4e7f-8393-45c1866ae50d', 'idAwayTeam': '0b01202a-4057-480b-856b-a1576d7572ba', 'idStadium': '53fa70dc-06c9-42a8-a4fd-9a02c0411704', 'date': '2024-06-16'}
{'id': '91bc26a0-a91c-4c7c-adc1-900872c3e1cf', 'idHomeTeam': 'e7ce4f61-c890-48a6-b5f7-a5cd59460c5a', 'idAwayTeam': '83fd7deb-7d30-4a43-83e8-0d08aa9635e4', 'idStadium': '3181b7d7-77cc-42a8-96c9-ab6c18e282ae', 'date': '2024-06-16'}
{'id': '6de6634c-c25a-4bb6-ad35-da9525ae0417', 'idHomeTeam': '4c5da816-f99a-4e38-bb5f-5230952b1d30', 'idAwayTeam': '03404239-f8f5-4c70-90bf-c13d8c52a0be', 'idStadium': '2eead114-7627-45c4-83ab-ee3d66a6c62f', 'date': '2024-06-16'}
{'id': '2fbcf67f-78b6-48a5-928f-5feb9073cd48', 'idHomeTeam': 'adb63c2e-f2f9-4e83-b5cd-4c5f66133071', 'idAwayTeam': 'f37bc54f-939b-4f4d-aee8-dd3537436e3c', 'idStadium': '85bf8f3a-4bb8-413e-8bf6-d577178b1eb7', 'date': '2024-06-17'}
{'id': 'b3ba115c-a569-4ac8-b631-f63ee113b415', 'idHomeTeam': 'ee32c6a4-8709-466a-8c34-e6ea6eb765e0', 'idAwayTeam': 'ddc0954e-815f-4cb9-b396-8ec0124894c5', 'idStadium': 'ba2b4f33-1d5e-4f63-ae0d-e491a48f41d4', 'date': '2024-06-17'}
{'id': '52cf1b06-7500-4b09-957f-5b7999a746b3', 'idHomeTeam': '07b741db-b268-45a7-86f0-c5111632e21d', 'idAwayTeam': 'a2a1e781-c159-4b47-a2f6-b62a543bb150', 'idStadium': '2ae81544-c13f-442f-b332-6887628e9d6a', 'date': '2024-06-17'}
{'id': '7b37cb67-7d7b-4a48-b762-590c99f49208', 'idHomeTeam': 'f3d792fb-e07d-46ed-a1d4-ca24a876fcbf', 'idAwayTeam': 'b32c045d-8217-44d5-94be-a19beffbaefa', 'idStadium': '85bf8f3a-4bb8-413e-8bf6-d577178b1eb7', 'date': '2024-06-18'}
{'id': '4b2470c6-5c6b-4588-ac5e-3a5f403ba49a', 'idHomeTeam': '547fc83b-b29d-4480-9ac5-f7cfeb3c02d2', 'idAwayTeam': '05feedec-06d4-4a90-b7cb-ed7de55d8ec2', 'idStadium': '2eead114-7627-45c4-83ab-ee3d66a6c62f', 'date': '2024-06-18'}
{'id': '51842b43-273e-4793-854a-7a5e090ebbe2', 'idHomeTeam': '31c88261-1efd-444e-95ac-b7c1cd034bfd', 'idAwayTeam': '68005e74-10e2-410e-8d60-d88e6c0df198', 'idStadium': '2a3ea87b-3c46-4181-8409-56150ba3c962', 'date': '2024-06-19'}
{'id': '89e48e09-2bbd-440f-b059-e04ff5f384d9', 'idHomeTeam': 'd18b547a-3e55-4ead-a73a-6ee9af05c761', 'idAwayTeam': 'efc26f34-0d00-4fdb-a958-ccd8d0840a4b', 'idStadium': '2ae81544-c13f-442f-b332-6887628e9d6a', 'date': '2024-06-19'}
{'id': '3479a57e-8f6a-4a50-9b2a-6acfe78887c6', 'idHomeTeam': 'ef03f03e-872c-4bb4-bb95-203d8f072294', 'idAwayTeam': '4feec068-cc48-4c57-bca0-d06e3ec242c2', 'idStadium': '92940c44-15af-44a9-9fd4-480d0d865e27', 'date': '2024-06-19'}
{'id': '6cc7f8b0-cf4f-49ce-a0d2-c242b68674b4', 'idHomeTeam': '0015bd66-71ce-4869-9d9b-be8b12914dcd', 'idAwayTeam': 'eee64995-57ba-4261-be76-4faf9c808fd8', 'idStadium': '50542213-b8e8-400e-8353-4e3b3cfa8144', 'date': '2024-06-20'}
{'id': '42a60f92-c325-4a61-822b-72e6ca8ddaea', 'idHomeTeam': 'd835ce6e-600a-4e7f-8393-45c1866ae50d', 'idAwayTeam': 'e7ce4f61-c890-48a6-b5f7-a5cd59460c5a', 'idStadium': '53fa70dc-06c9-42a8-a4fd-9a02c0411704', 'date': '2024-06-20'}
{'id': '1422a18a-ebf0-4ffc-8624-eaed07e06a89', 'idHomeTeam': '0b01202a-4057-480b-856b-a1576d7572ba', 'idAwayTeam': '83fd7deb-7d30-4a43-83e8-0d08aa9635e4', 'idStadium': '53fa70dc-06c9-42a8-a4fd-9a02c0411704', 'date': '2024-06-20'}
{'id': '70ff1e1f-5665-494e-aaf7-f26afc069be6', 'idHomeTeam': '4c5da816-f99a-4e38-bb5f-5230952b1d30', 'idAwayTeam': 'adb63c2e-f2f9-4e83-b5cd-4c5f66133071', 'idStadium': '85bf8f3a-4bb8-413e-8bf6-d577178b1eb7', 'date': '2024-06-21'}
{'id': 'c42ae354-601c-4208-8670-73c7859084d1', 'idHomeTeam': '03404239-f8f5-4c70-90bf-c13d8c52a0be', 'idAwayTeam': 'f37bc54f-939b-4f4d-aee8-dd3537436e3c', 'idStadium': 'ba2b4f33-1d5e-4f63-ae0d-e491a48f41d4', 'date': '2024-06-21'}
{'id': 'ab5cbb55-b91b-460c-b5f4-45ca8ef9e033', 'idHomeTeam': 'a2a1e781-c159-4b47-a2f6-b62a543bb150', 'idAwayTeam': 'ddc0954e-815f-4cb9-b396-8ec0124894c5', 'idStadium': '85bf8f3a-4bb8-413e-8bf6-d577178b1eb7', 'date': '2024-06-21'}
{'id': '15b30b11-8714-4e5f-b142-d4084b88aa92', 'idHomeTeam': '07b741db-b268-45a7-86f0-c5111632e21d', 'idAwayTeam': 'ee32c6a4-8709-466a-8c34-e6ea6eb765e0', 'idStadium': '2eead114-7627-45c4-83ab-ee3d66a6c62f', 'date': '2024-06-22'}
